State,District,Cases
AndamanandNicobarIslands,NORTHANDMIDDLEANDAMAN,1
AndamanandNicobarIslands,SOUTHANDAMAN,8
AndamanandNicobarIslands,UNKNOWN,5
AndhraPradesh,ANANTAPUR,26
AndhraPradesh,CHITTOOR,28
AndhraPradesh,EASTGODAVARI,19
AndhraPradesh,GUNTUR,125
AndhraPradesh,KRISHNA,69
AndhraPradesh,KURNOOL,132
AndhraPradesh,PRAKASAM,44
AndhraPradesh,NELLORE,68
AndhraPradesh,VISAKHAPATNAM,20
AndhraPradesh,WESTGODAVARI,35
AndhraPradesh,KADAPA,37
ArunachalPradesh,LOHIT,1
Assam,CACHAR,2
Assam,DHUBRI,4
Assam,GOALPARA,4
Assam,GOLAGHAT,1
Assam,HAILAKANDI,1
Assam,JORHAT,8
Assam,KAMRUP,1
Assam,KAMRUPMETROPOLITAN,5
Assam,LAKHIMPUR,1
Assam,MORIGAON,3
Assam,NALBARI,3
Assam,SOUTHSALMARAMANCACHAR,1
Bihar,BEGUSARAI,9
Bihar,BHAGALPUR,1
Bihar,BUXAR,2
Bihar,GAYA,5
Bihar,GOPALGANJ,3
Bihar,LAKHISARAI,1
Bihar,MUNGER,17
Bihar,NALANDA,7
Bihar,NAWADA,3
Bihar,PATNA,7
Bihar,SARAN,1
Bihar,SIWAN,29
Bihar,VAISHALI,1
Chandigarh,CHANDIGARH,21
Chandigarh,UNKNOWN,2
Chhattisgarh,BILASPUR,1
Chhattisgarh,DURG,1
Chhattisgarh,KORBA,28
Chhattisgarh,RAIPUR,5
Chhattisgarh,RAJNANDGAON,1
Delhi,EASTDELHI,1
Delhi,NEWDELHI,5
Delhi,NORTHDELHI,3
Delhi,NORTHEASTDELHI,1
Delhi,NORTHWESTDELHI,3
Delhi,SOUTHDELHI,26
Delhi,SOUTHWESTDELHI,3
Delhi,UNKNOWN,1849
Delhi,WESTDELHI,2
Goa,NORTHGOA,4
Goa,UNKNOWN,3
Gujarat,AHMADABAD,861
Gujarat,ANAND,27
Gujarat,ARAVALLI,1
Gujarat,BANASKANTHA,9
Gujarat,BHARUCH,22
Gujarat,BHAVNAGAR,30
Gujarat,BOTAD,4
Gujarat,CHOTAUDAIPUR,6
Gujarat,DAHOD,3
Gujarat,GANDHINAGAR,17
Gujarat,GIRSOMNATH,2
Gujarat,JAMNAGAR,1
Gujarat,KACHCHH,4
Gujarat,KHEDA,3
Gujarat,MAHESANA,4
Gujarat,MAHISAGAR,2
Gujarat,MORBI,1
Gujarat,NARMADA,11
Gujarat,PANCHMAHALS,9
Gujarat,PATAN,15
Gujarat,PORBANDAR,3
Gujarat,RAJKOT,30
Gujarat,SABARKANTHA,2
Gujarat,SURAT,156
Gujarat,VADODARA,153
Haryana,AMBALA,7
Haryana,BHIWANI,2
Haryana,CHARKIDADRI,1
Haryana,FARIDABAD,33
Haryana,FATEHABAD,1
Haryana,GURUGRAM,32
Haryana,HISAR,2
Haryana,ITALIANS*,14
Haryana,JIND,2
Haryana,KAITHAL,2
Haryana,KARNAL,6
Haryana,KURUKSHETRA,2
Haryana,NUH,57
Haryana,PALWAL,34
Haryana,PANCHKULA,17
Haryana,PANIPAT,5
Haryana,ROHTAK,1
Haryana,SIRSA,4
Haryana,SONIPAT,7
Haryana,YAMUNANAGAR,3
HimachalPradesh,CHAMBA,6
HimachalPradesh,KANGRA,5
HimachalPradesh,SIRMAUR,1
HimachalPradesh,SOLAN,9
HimachalPradesh,UNA,15
HimachalPradesh,UNKNOWN,3
JammuandKashmir,ANANTNAG,2
JammuandKashmir,BADGAM,13
JammuandKashmir,BANDIPORE,80
JammuandKashmir,BARAMULA,42
JammuandKashmir,BUDAUN,1
JammuandKashmir,GANDERBAL,14
JammuandKashmir,JAMMU,26
JammuandKashmir,KISHTWAR,1
JammuandKashmir,KULGAM,5
JammuandKashmir,KUPWARA,27
JammuandKashmir,PULWAMA,3
JammuandKashmir,RAJOURI,3
JammuandKashmir,SAMBA,4
JammuandKashmir,SHUPIYAN,22
JammuandKashmir,SRINAGAR,78
JammuandKashmir,UDHAMPUR,20
Jharkhand,BOKARO,9
Jharkhand,DHANBAD,1
Jharkhand,GIRIDIH,1
Jharkhand,HAZARIBAGH,2
Jharkhand,KODARMA,1
Jharkhand,RANCHI,17
Jharkhand,SIMDEGA,1
Karnataka,BAGALKOTE,21
Karnataka,BALLARI,13
Karnataka,BELAGAVI,42
Karnataka,BENGALURU,100
Karnataka,BENGALURURURAL,5
Karnataka,BIDAR,14
Karnataka,CHIKKABALLAPURA,13
Karnataka,DAKSHINAKANNADA,13
Karnataka,DAVANAGERE,3
Karnataka,DHARWAD,7
Karnataka,GADAG,3
Karnataka,KALABURAGI,22
Karnataka,KODAGU,1
Karnataka,MANDYA,12
Karnataka,MYSURU,80
Karnataka,TUMAKURU,1
Karnataka,UDUPI,3
Karnataka,UTTARAKANNADA,10
Karnataka,VIJAYAPURA,21
Kerala,ALAPPUZHA,5
Kerala,ERNAKULAM,24
Kerala,IDUKKI,10
Kerala,KANNUR,85
Kerala,KASARAGOD,168
Kerala,KOLLAM,9
Kerala,KOTTAYAM,3
Kerala,KOZHIKODE,20
Kerala,MALAPPURAM,20
Kerala,PALAKKAD,8
Kerala,PATHANAMTHITTA,17
Kerala,THIRUVANANTHAPURAM,14
Kerala,THRISSUR,13
Kerala,WAYANAD,3
Ladakh,KARGIL,4
Ladakh,LEH,14
MadhyaPradesh,AGARMALWA,4
MadhyaPradesh,ALIRAJPUR,1
MadhyaPradesh,BARWANI,22
MadhyaPradesh,BETUL,2
MadhyaPradesh,BHOPAL,197
MadhyaPradesh,CHHINDWARA,4
MadhyaPradesh,DEWAS,18
MadhyaPradesh,DHAR,10
MadhyaPradesh,GWALIOR,6
MadhyaPradesh,HOSHANGABAD,19
MadhyaPradesh,INDORE,841
MadhyaPradesh,JABALPUR,13
MadhyaPradesh,KHANDWA,33
MadhyaPradesh,KHARGONE,39
MadhyaPradesh,MANDSAUR,8
MadhyaPradesh,MORENA,14
MadhyaPradesh,OTHERREGION*,1
MadhyaPradesh,RAISEN,8
MadhyaPradesh,RATLAM,12
MadhyaPradesh,SAGAR,1
MadhyaPradesh,SATNA,2
MadhyaPradesh,SHAJAPUR,5
MadhyaPradesh,SHEOPUR,3
MadhyaPradesh,SHIVPURI,2
MadhyaPradesh,TIKAMGARH,1
MadhyaPradesh,UJJAIN,31
MadhyaPradesh,UNKNOWN,92
MadhyaPradesh,VIDISHA,13
Maharashtra,AHMADNAGAR,28
Maharashtra,AKOLA,14
Maharashtra,AMRAVATI,7
Maharashtra,AURANGABAD,24
Maharashtra,BID,1
Maharashtra,BULDANA,21
Maharashtra,CHANDRAPUR,1
Maharashtra,DHULE,2
Maharashtra,GONDIYA,1
Maharashtra,HINGOLI,1
Maharashtra,JALGAON,2
Maharashtra,JALNA,1
Maharashtra,KOLHAPUR,6
Maharashtra,LATUR,8
Maharashtra,MUMBAI,2187
Maharashtra,NAGPUR,69
Maharashtra,NANDURBAR,1
Maharashtra,NASHIK,56
Maharashtra,OSMANABAD,4
Maharashtra,OTHERSTATES*,11
Maharashtra,PALGHAR,47
Maharashtra,PUNE,509
Maharashtra,RAIGARH,30
Maharashtra,RATNAGIRI,6
Maharashtra,SANGLI,26
Maharashtra,SATARA,10
Maharashtra,SINDHUDURG,1
Maharashtra,SOLAPUR,4
Maharashtra,THANE,325
Maharashtra,UNKNOWN,239
Maharashtra,WASHIM,1
Maharashtra,YAVATMAL,5
Manipur,IMPHALEAST,1
Manipur,IMPHALWEST,1
Meghalaya,EASTKHASIHILLS,7
Meghalaya,UNKNOWN,4
Mizoram,AIZAWL,1
Nagaland,DIMAPUR,1
Odisha,BALESHWAR,1
Odisha,BHADRAK,3
Odisha,CUTTACK,1
Odisha,DHENKANAL,1
Odisha,JAJAPUR,2
Odisha,KALAHANDI,2
Odisha,KENDRAPARA,2
Odisha,KHORDHA,46
Odisha,PURI,1
Odisha,SUNDARGARH,2
Puducherry,MAHE,1
Puducherry,PUDUCHERRY,6
Punjab,AMRITSAR,11
Punjab,BARNALA,2
Punjab,FARIDKOT,3
Punjab,FATEHGARHSAHIB,2
Punjab,FIROZPUR,1
Punjab,GURDASPUR,2
Punjab,HOSHIARPUR,7
Punjab,JALANDHAR,41
Punjab,KAPURTHALA,2
Punjab,LUDHIANA,15
Punjab,MANSA,11
Punjab,MOGA,4
Punjab,PATHANKOT,24
Punjab,PATIALA,26
Punjab,RUPNAGAR,3
Punjab,S.A.S.NAGAR,57
Punjab,SANGRUR,3
Punjab,SHAHIDBHAGATSINGHNAGAR,19
Punjab,SRIMUKTSARSAHIB,1
Rajasthan,AJMER,18
Rajasthan,ALWAR,7
Rajasthan,BANSWARA,60
Rajasthan,BARMER,1
Rajasthan,BHARATPUR,85
Rajasthan,BHILWARA,28
Rajasthan,BIKANER,35
Rajasthan,CHURU,14
Rajasthan,DAUSA,13
Rajasthan,DHAULPUR,1
Rajasthan,DUNGARPUR,5
Rajasthan,EVACUEES*,60
Rajasthan,HANUMANGARH,2
Rajasthan,ITALIANS*,2
Rajasthan,JAIPUR,519
Rajasthan,JAISALMER,31
Rajasthan,JHALAWAR,18
Rajasthan,JHUNJHUNU,36
Rajasthan,JODHPUR,180
Rajasthan,KARAULI,3
Rajasthan,KOTA,97
Rajasthan,NAGAUR,31
Rajasthan,PALI,2
Rajasthan,PRATAPGARH,2
Rajasthan,SIKAR,2
Rajasthan,TONK,95
Rajasthan,UDAIPUR,4
TamilNadu,ARIYALUR,1
TamilNadu,CHENGALPATTU,47
TamilNadu,CHENNAI,240
TamilNadu,COIMBATORE,128
TamilNadu,CUDDALORE,20
TamilNadu,DINDIGUL,69
TamilNadu,ERODE,70
TamilNadu,KALLAKURICHI,3
TamilNadu,KANCHEEPURAM,7
TamilNadu,KANNIYAKUMARI,16
TamilNadu,KARUR,41
TamilNadu,MADURAI,44
TamilNadu,NAGAPATTINAM,40
TamilNadu,NAMAKKAL,50
TamilNadu,PERAMBALUR,4
TamilNadu,RAMANATHAPURAM,10
TamilNadu,RANIPET,38
TamilNadu,SALEM,24
TamilNadu,SIVAGANGA,11
TamilNadu,TENKASI,15
TamilNadu,THANJAVUR,35
TamilNadu,THENI,44
TamilNadu,THENILGIRIS,9
TamilNadu,THIRUVALLUR,47
TamilNadu,THIRUVARUR,22
TamilNadu,THOOTHUKKUDI,26
TamilNadu,TIRUCHIRAPPALLI,46
TamilNadu,TIRUNELVELI,62
TamilNadu,TIRUPATHUR,17
TamilNadu,TIRUPPUR,108
TamilNadu,TIRUVANNAMALAI,8
TamilNadu,VELLORE,23
TamilNadu,VILUPPURAM,30
TamilNadu,VIRUDHUNAGAR,17
Telangana,ADILABAD,31
Telangana,HYDERABAD,448
Telangana,KARIMNAGAR,27
Telangana,KHAMMAM,11
Telangana,MAHABUBNAGAR,39
Telangana,MEDAK,13
Telangana,NALGONDA,56
Telangana,NIZAMABAD,69
Telangana,RANGAREDDY,64
Telangana,UNKNOWN,22
Telangana,WARANGAL,29
Tripura,GOMATI,1
Tripura,NORTHTRIPURA,1
UttarPradesh,AGRA,199
UttarPradesh,AMROHA,10
UttarPradesh,AURAIYA,6
UttarPradesh,AZAMGARH,6
UttarPradesh,BAGHPAT,15
UttarPradesh,BANDA,3
UttarPradesh,BARABANKI,1
UttarPradesh,BAREILLY,6
UttarPradesh,BASTI,16
UttarPradesh,BHADOHI,1
UttarPradesh,BIJNOR,22
UttarPradesh,BUDAUN,5
UttarPradesh,BULANDSHAHR,15
UttarPradesh,ETAWAH,2
UttarPradesh,FIROZABAD,38
UttarPradesh,GAUTAMBUDDHANAGAR,95
UttarPradesh,GHAZIABAD,30
UttarPradesh,GHAZIPUR,5
UttarPradesh,GONDA,1
UttarPradesh,HAPUR,16
UttarPradesh,HARDOI,2
UttarPradesh,HATHRAS,4
UttarPradesh,JAUNPUR,5
UttarPradesh,KANNAUJ,4
UttarPradesh,KANPURNAGAR,30
UttarPradesh,KASGANJ,3
UttarPradesh,KAUSHAMBI,2
UttarPradesh,KHERI,4
UttarPradesh,LUCKNOW,160
UttarPradesh,MAHRAJGANJ,6
UttarPradesh,MAINPURI,4
UttarPradesh,MATHURA,4
UttarPradesh,MEERUT,70
UttarPradesh,MIRZAPUR,4
UttarPradesh,MORADABAD,39
UttarPradesh,MUZAFFARNAGAR,7
UttarPradesh,PILIBHIT,2
UttarPradesh,PRATAPGARH,6
UttarPradesh,PRAYAGRAJ,1
UttarPradesh,RAEBARELI,2
UttarPradesh,RAMPUR,6
UttarPradesh,SAHARANPUR,53
UttarPradesh,SAMBHAL,7
UttarPradesh,SANTKABIRNAGAR,1
UttarPradesh,SHAHJAHANPUR,1
UttarPradesh,SHAMLI,23
UttarPradesh,SITAPUR,17
UttarPradesh,UNNAO,1
UttarPradesh,VARANASI,14
Uttarakhand,ALMORA,1
Uttarakhand,DEHRADUN,20
Uttarakhand,HARIDWAR,7
Uttarakhand,NAINITAL,9
Uttarakhand,PAURIGARHWAL,2
Uttarakhand,UDHAMSINGHNAGAR,3
WestBengal,HOOGHLY,1
WestBengal,HOWRAH,1
WestBengal,KALIMPONG,1
WestBengal,KOLKATA,11
WestBengal,MEDINIPUREAST,3
WestBengal,NADIA,5
WestBengal,NORTH24PARGANAS,4
WestBengal,SOUTH24PARGANAS,1
WestBengal,UNKNOWN,260
